patch_id,zone,median_height,centroid_x,centroid_y,bounds,crs,height_bin,spatial_cluster,split
zone2_02138,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_0,train
zone2_00700,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_05287,zone2,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_1,train
zone2_01632,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone1_00061,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_0,test
zone2_03755,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_01425,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_03804,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone1_02039,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_0,test
zone2_00759,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_01852,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone1_00995,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_0,test
zone1_00352,zone1,1.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_0,test
zone2_05119,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_02608,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_03607,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_04695,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_00109,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_01555,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_00394,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_05283,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone2_02012,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone1_01458,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_0,test
zone1_00500,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_0,test
zone1_01780,zone1,14.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,10-15m,zone1_0,test
zone2_01689,zone2,9.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_1,train
zone2_00301,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone1_01444,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_0,test
zone1_01756,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_0,test
zone2_00662,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone1_02143,zone1,7.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_1,train
zone2_04470,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_1,train
zone1_01397,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_01284,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_03151,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_03982,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_04625,zone2,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_2,train
zone2_03094,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_01469,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_01089,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone1_01188,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_1,train
zone2_04734,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone1_00333,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone1_01668,zone1,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_01881,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_05055,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_04123,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone1_00173,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_00290,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_00870,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone1_01643,zone1,6.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_1,train
zone2_02280,zone2,12.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,10-15m,zone2_2,train
zone2_01457,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone1_02062,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_05254,zone2,15.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,15-20m,zone2_2,train
zone2_00664,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone1_02130,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_03979,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_04755,zone2,15.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,15-20m,zone2_2,train
zone1_00271,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_05264,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_03411,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_2,train
zone2_03292,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone1_01075,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_05330,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_04305,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_03285,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_02324,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone1_02085,zone1,7.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_1,train
zone2_03798,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_3,train
zone2_04101,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone1_01443,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_1,train
zone2_03948,zone2,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_3,train
zone1_01387,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_1,train
zone1_01821,zone1,14.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,10-15m,zone1_1,train
zone1_00234,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_03240,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_04159,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_3,train
zone2_00565,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone1_01339,zone1,6.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_1,train
zone1_00113,zone1,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_04534,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_04663,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_00654,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone1_00983,zone1,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_02259,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_3,train
zone2_02854,zone2,6.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_3,train
zone2_03206,zone2,14.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,10-15m,zone2_3,train
zone1_00722,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_1,train
zone2_00252,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_02819,zone2,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_3,train
zone1_01238,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_1,train
zone1_00404,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone2_02570,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_00439,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_3,train
zone2_03820,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone2_01510,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone1_01856,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone1_02054,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone2_03241,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone2_03657,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone2_02539,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone1_00930,zone1,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone2_03282,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_4,test
zone1_01502,zone1,15.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,15-20m,zone1_2,test
zone2_02547,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone2_04273,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone1_00099,zone1,7.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_2,test
zone1_01771,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone2_00032,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone1_01865,zone1,15.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,15-20m,zone1_2,test
zone2_04189,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone2_02685,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_4,test
zone2_01162,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone1_00102,zone1,14.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,10-15m,zone1_2,test
zone2_05236,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone1_00412,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone2_03814,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone1_01581,zone1,13.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,10-15m,zone1_2,test
zone2_03345,zone2,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_4,test
zone1_00314,zone1,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_2,test
zone1_01281,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone2_05095,zone2,6.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_4,test
zone2_04389,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone1_00957,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_2,test
zone2_03792,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone2_05345,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone2_01641,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_4,test
zone2_03558,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_4,test
zone2_00029,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_03392,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone1_01225,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_2,test
zone1_01315,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_2,test
zone2_04377,zone2,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_5,test
zone2_02859,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_03885,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_02622,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_01214,zone2,18.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,15-20m,zone2_5,test
zone2_01003,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_02014,zone2,6.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_5,test
zone2_04746,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_00136,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_5,test
zone2_04866,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_5,test
zone1_00457,zone1,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_2,test
zone2_02298,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_5,test
zone2_03060,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_04714,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_04491,zone2,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_5,test
zone2_01540,zone2,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_5,test
zone2_02007,zone2,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone1_01106,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_2,test
zone1_02017,zone1,2.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone2_05028,zone2,15.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,15-20m,zone2_5,test
zone2_03619,zone2,5.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_5,test
zone2_00217,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_5,test
zone2_02508,zone2,6.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone2_6,train
zone2_04632,zone2,4.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_6,train
zone2_03702,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_6,train
zone1_01622,zone1,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone1_2,test
zone1_01367,zone1,8.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,5-10m,zone1_2,test
zone2_04897,zone2,3.0,256.0,256.0,"BoundingBox(left=0.0, bottom=0.0, right=512.0, top=512.0)",,0-5m,zone2_6,train
