split,patch_id,median_height,valid_pixels
train,zone2_02014,6.0,3202
train,zone2_04746,2.0,720
train,zone2_00136,5.0,4400
train,zone2_04866,5.0,9029
train,zone1_00457,5.0,6752
train,zone2_02298,5.0,4792
train,zone2_03060,4.0,41264
train,zone2_04714,3.0,13845
train,zone2_04491,8.0,4023
train,zone2_01540,8.0,931
train,zone2_02007,2.0,1024
train,zone1_01106,8.0,20123
train,zone1_02017,2.0,14598
train,zone2_05028,15.0,9928
train,zone2_03619,5.0,4324
train,zone2_00217,3.0,9058
train,zone2_02508,6.0,9106
train,zone2_04632,4.0,6799
train,zone2_03702,3.0,4938
train,zone1_01622,3.0,21588
train,zone1_01367,8.0,22244
train,zone2_04897,3.0,929
train,zone2_03991,4.0,4731
train,zone2_04092,3.0,2687
train,zone2_03247,4.0,10553
train,zone2_05292,4.0,20520
train,zone1_01495,6.0,45317
train,zone2_01488,2.0,640
train,zone1_00502,4.0,4763
train,zone1_00168,8.0,930
train,zone2_00110,2.0,423
train,zone2_03260,3.0,386
train,zone2_02898,5.0,6143
train,zone2_05016,15.0,19761
train,zone2_00022,3.0,1191
train,zone2_02210,4.0,29037
train,zone2_03252,4.0,36795
train,zone1_00852,10.0,112225
train,zone1_01914,7.0,23326
train,zone2_05072,16.0,11267
train,zone2_01233,3.0,25715
train,zone2_01807,2.0,1837
train,zone2_04370,3.0,22393
train,zone1_02215,8.0,40338
train,zone2_02925,4.0,51153
train,zone2_00021,3.0,1984
train,zone2_00277,3.0,1226
train,zone2_02187,4.0,19743
train,zone1_01823,14.0,64351
train,zone2_05193,15.0,696
train,zone2_00041,3.0,1926
train,zone1_00107,1.0,293
train,zone2_01341,16.0,7767
train,zone1_00266,2.0,201
train,zone1_01052,7.0,34813
train,zone2_01270,3.0,16736
train,zone1_00131,6.0,8943
train,zone2_00008,3.0,3920
train,zone1_02150,8.0,3858
train,zone2_01920,3.0,5730
train,zone2_03389,4.0,14910
train,zone2_00938,3.0,58798
train,zone2_03245,5.0,6276
train,zone1_00966,2.0,326
train,zone2_03474,4.0,54920
train,zone2_00969,3.0,56557
train,zone2_02058,2.0,4877
train,zone1_01364,8.0,36298
train,zone2_04446,4.0,4666
train,zone1_01760,8.0,209
train,zone2_01170,3.0,31445
train,zone1_02122,3.0,1833
train,zone2_03981,3.0,28291
train,zone2_04165,2.0,3375
train,zone2_04330,2.0,186
train,zone2_00720,3.0,1420
train,zone2_02913,6.0,28314
train,zone1_00891,11.0,145141
train,zone1_00997,8.0,107278
train,zone2_03895,3.0,3848
train,zone2_01950,3.0,23051
train,zone1_00156,9.0,22928
train,zone2_01384,5.0,3023
train,zone2_00057,3.0,10142
train,zone2_02928,12.0,26983
train,zone1_00824,8.0,7133
train,zone1_00143,4.0,5988
train,zone2_04080,2.0,2654
train,zone2_04954,4.0,13970
train,zone2_01903,8.0,4983
train,zone1_01260,3.0,900
train,zone2_03343,2.0,1393
train,zone1_00247,2.0,149764
train,zone2_05031,8.0,845
train,zone2_04679,4.0,18403
train,zone2_04239,3.0,12832
train,zone2_03447,3.0,43502
train,zone2_02377,4.0,39006
train,zone2_03283,4.0,28039
train,zone1_00829,8.0,516
train,zone2_01371,3.0,37864
train,zone1_00784,8.0,42559
train,zone1_01515,2.0,20315
train,zone1_01952,2.0,9687
train,zone2_01936,5.0,3138
train,zone2_00147,3.0,33812
train,zone2_02762,2.0,2122
train,zone2_03430,2.0,4106
train,zone2_04891,3.0,12845
train,zone2_04003,3.0,2399
train,zone2_05024,16.0,3876
train,zone2_01806,2.0,3593
train,zone1_00654,5.0,10663
train,zone2_05131,8.0,919
train,zone1_00663,15.0,96199
train,zone1_02305,6.0,44780
train,zone2_00640,2.0,557
train,zone2_01668,3.0,6265
train,zone2_00873,3.0,799
train,zone2_02139,1.0,608
train,zone2_01837,3.0,4031
train,zone2_03027,3.0,7831
train,zone2_00124,2.0,9205
train,zone2_01904,5.0,22423
train,zone1_02111,3.0,39748
train,zone2_03238,5.0,1098
train,zone1_02274,4.0,21855
train,zone2_00443,3.0,41196
train,zone1_02151,8.0,765
train,zone2_01747,4.0,4622
train,zone1_00862,8.0,82390
train,zone2_02872,3.0,578
train,zone1_00096,3.0,11885
train,zone2_04270,3.0,12746
train,zone2_00181,3.0,7190
train,zone1_02178,6.0,7128
train,zone2_04445,3.0,14057
train,zone2_02309,3.0,423
train,zone2_03856,3.0,13653
train,zone1_01376,8.0,7779
train,zone1_01279,8.0,40704
train,zone2_00975,3.0,7079
train,zone1_02389,2.0,7622
train,zone2_00762,3.0,9567
train,zone2_00914,4.0,2375
train,zone2_04188,8.0,758
train,zone2_02653,8.0,453
train,zone2_05067,8.0,104
train,zone1_00870,8.0,7882
train,zone2_00123,7.0,10668
train,zone2_02478,5.0,44466
train,zone1_00286,8.0,670
train,zone2_01775,2.0,2484
train,zone1_00770,8.0,181107
train,zone2_01236,2.0,6105
train,zone2_04339,5.0,1490
train,zone2_02312,7.0,17469
train,zone1_02287,2.0,215
train,zone2_04824,5.0,3130
train,zone2_01388,4.0,1831
train,zone2_00618,4.0,1112
train,zone1_01740,3.0,14686
train,zone2_04931,3.0,2716
train,zone2_01234,3.0,11061
train,zone1_01803,2.0,67469
train,zone1_02192,8.0,16677
train,zone2_02824,7.0,4424
train,zone1_01611,3.0,39577
train,zone2_04341,2.0,1190
train,zone2_01888,2.0,22683
train,zone2_02993,2.0,946
train,zone2_02256,4.0,16183
train,zone1_00882,3.0,16044
train,zone2_03144,9.0,6974
train,zone1_00790,8.0,8214
train,zone1_02079,8.0,425
train,zone2_02597,9.0,8476
train,zone2_04398,4.0,7036
train,zone1_01343,1.0,3008
train,zone2_04858,15.0,65563
train,zone1_01205,3.0,655
train,zone1_01788,8.0,10031
train,zone2_03853,3.0,7648
train,zone2_03993,2.0,4588
train,zone1_01009,8.0,91595
train,zone2_01010,3.0,4470
train,zone2_00316,2.0,6937
train,zone2_01722,5.0,8491
train,zone2_01582,2.0,405
train,zone2_00453,3.0,4218
train,zone2_03892,3.0,45244
train,zone2_01507,4.0,9778
train,zone1_00253,3.0,7807
train,zone2_04551,4.0,11944
train,zone1_01211,4.0,274
train,zone2_05266,3.0,23216
train,zone2_01406,3.0,19416
train,zone2_03273,4.0,14209
train,zone1_01245,2.0,6344
train,zone1_00035,2.0,68799
train,zone1_00861,8.0,104119
train,zone2_03497,8.0,11998
train,zone1_00090,3.0,1715
train,zone2_04399,8.0,234
train,zone1_01573,2.0,1105
train,zone2_03262,17.0,2938
train,zone2_05344,8.0,886
train,zone2_04186,5.0,10202
train,zone1_01979,3.0,115
train,zone2_02562,3.0,13064
train,zone2_01684,3.0,1524
train,zone2_00973,3.0,13482
train,zone2_04920,15.0,10019
train,zone2_00361,3.0,13638
train,zone2_04611,4.0,18424
train,zone1_00899,8.0,25640
train,zone2_05290,8.0,903
train,zone1_01013,8.0,17039
train,zone2_00102,4.0,4984
train,zone2_02588,4.0,3886
train,zone1_01448,4.0,11280
train,zone2_02769,3.0,3360
train,zone2_01472,2.0,809
train,zone1_01713,15.0,47909
train,zone1_01983,8.0,2219
train,zone2_04745,3.0,576
train,zone1_02383,1.0,584
train,zone1_02047,2.0,4951
train,zone1_01459,2.0,22478
train,zone2_03846,4.0,1042
train,zone1_02447,2.0,794
train,zone2_02680,5.0,13263
train,zone2_03109,3.0,13918
train,zone2_03821,5.0,19961
train,zone2_00495,3.0,10928
train,zone1_01637,8.0,9329
train,zone2_03523,4.0,109200
train,zone2_04658,8.0,5801
train,zone2_04967,15.0,87143
train,zone2_03992,4.0,4091
train,zone1_00540,2.0,2270
train,zone2_01600,4.0,24449
train,zone1_00272,1.0,269
train,zone2_02157,2.0,140
train,zone2_02941,14.0,7097
train,zone1_02439,8.0,3468
train,zone1_00925,6.0,3202
train,zone2_05312,8.0,268
train,zone1_01793,8.0,3196
train,zone2_01302,2.0,2026
train,zone2_04874,15.0,15971
train,zone1_02205,4.0,4805
train,zone2_02374,4.0,20881
train,zone1_00785,8.0,61448
train,zone2_00226,2.0,281
train,zone1_00650,2.0,152116
train,zone2_04023,3.0,754
train,zone2_05267,4.0,15142
train,zone1_01553,8.0,7814
train,zone2_02399,3.0,1196
train,zone1_01216,10.0,55422
train,zone2_03864,4.0,57993
train,zone2_01970,5.0,23997
train,zone1_02395,3.0,28487
train,zone2_01824,2.0,3472
train,zone1_01447,4.0,17890
train,zone2_00383,3.0,5266
train,zone2_03533,3.0,590
train,zone1_01116,8.0,9441
train,zone1_00746,8.0,7833
train,zone1_01879,2.0,4250
train,zone2_00893,3.0,5570
train,zone2_01994,3.0,10331
train,zone2_03618,4.0,10238
train,zone2_04713,15.0,3744
train,zone2_03022,3.0,9625
train,zone2_03152,3.0,10258
train,zone2_01810,4.0,3596
train,zone1_01037,3.0,38177
train,zone2_04381,3.0,6827
train,zone1_01538,15.0,72975
train,zone2_04712,15.0,3658
train,zone1_00682,2.0,12805
train,zone1_00928,3.0,7207
train,zone1_00440,2.0,11400
train,zone2_01763,4.0,7187
train,zone2_03729,2.0,877
train,zone1_01084,3.0,1507
train,zone2_03472,3.0,8149
train,zone2_02021,8.0,37879
train,zone2_01454,4.0,74914
train,zone2_01021,4.0,35095
train,zone2_02678,3.0,29734
train,zone1_00350,3.0,2657
train,zone2_04805,11.0,5317
train,zone1_00233,3.0,7294
train,zone2_00638,3.0,6813
train,zone2_01471,2.0,436
train,zone1_01605,8.0,1913
train,zone2_04682,3.0,10271
train,zone2_04837,9.0,14216
train,zone1_01653,3.0,9241
train,zone2_02613,2.0,2615
train,zone2_04141,4.0,21159
train,zone2_04763,3.0,6056
train,zone2_03508,8.0,799
train,zone2_00261,3.0,2306
train,zone2_03257,7.0,3327
train,zone2_03582,3.0,18902
train,zone1_00976,3.0,19049
train,zone2_02040,3.0,931
train,zone1_00689,13.0,82063
train,zone1_00963,3.0,77381
train,zone1_01345,3.0,1114
train,zone1_01529,8.0,95841
train,zone2_03179,5.0,407
train,zone1_02288,2.0,215
train,zone2_01449,15.0,27662
train,zone2_03734,7.0,70968
train,zone1_01700,4.0,3770
train,zone1_00228,4.0,35146
train,zone1_01249,3.0,12350
train,zone2_02582,4.0,26063
train,zone2_02534,4.0,55998
train,zone2_02013,3.0,4564
train,zone2_01188,4.0,6362
train,zone2_03802,3.0,18350
train,zone2_00359,3.0,21048
train,zone2_04264,8.0,287
train,zone1_01258,2.0,68324
train,zone2_04591,9.0,61954
train,zone1_02275,2.0,1191
train,zone1_01152,8.0,80270
train,zone2_04260,3.0,7963
train,zone2_00584,3.0,3252
train,zone2_02178,3.0,2765
train,zone2_05186,8.0,352
train,zone1_00345,4.0,7371
train,zone2_02704,4.0,22801
train,zone1_00241,4.0,10429
train,zone2_02759,3.0,1962
train,zone2_01731,2.0,282
train,zone2_04314,3.0,15476
train,zone1_00680,3.0,131914
train,zone1_01053,5.0,80578
train,zone2_03274,3.0,1905
train,zone2_02218,12.0,2225
train,zone1_01121,1.0,5245
train,zone2_04958,4.0,4112
train,zone1_00290,2.0,164291
train,zone2_01601,5.0,15340
train,zone2_04520,3.0,8602
train,zone1_00567,2.0,714
train,zone2_04383,4.0,13968
train,zone2_03624,3.0,1261
train,zone2_00595,3.0,25909
train,zone2_04518,6.0,26195
train,zone1_02089,9.0,21344
train,zone1_00117,5.0,37293
train,zone2_01571,4.0,45405
train,zone1_01361,2.0,9386
train,zone2_04568,6.0,17535
train,zone2_02348,4.0,23597
train,zone1_02101,8.0,18928
train,zone1_01564,8.0,529
train,zone1_01002,8.0,45233
train,zone1_01860,15.0,105973
train,zone1_00293,4.0,2500
train,zone2_00349,4.0,1611
train,zone2_04804,11.0,3860
train,zone2_03111,5.0,10913
train,zone2_04638,4.0,1481
train,zone1_01014,8.0,10645
train,zone2_01366,5.0,22186
train,zone2_03576,3.0,148
train,zone2_00610,2.0,899
train,zone2_02230,4.0,47349
train,zone2_01336,3.0,721
train,zone2_01736,7.0,57227
train,zone2_01069,3.0,60796
train,zone2_03628,4.0,1070
train,zone2_03984,4.0,18302
train,zone1_01602,8.0,3036
train,zone1_02154,8.0,19334
train,zone2_00293,3.0,4041
train,zone2_03261,4.0,15928
train,zone2_05242,6.0,6042
train,zone2_01113,5.0,40890
train,zone1_01138,3.0,54200
train,zone2_00994,2.0,1889
train,zone2_00709,3.0,2119
train,zone2_02472,8.0,643
train,zone1_01166,3.0,12334
train,zone2_01231,3.0,9588
train,zone1_02300,1.0,823
train,zone2_00275,2.0,1188
train,zone2_03351,4.0,77719
train,zone2_02286,12.0,11891
train,zone2_02448,2.0,2629
train,zone1_01024,2.0,1167
train,zone1_00157,3.0,1276
train,zone2_05018,4.0,22602
train,zone2_00329,3.0,5706
train,zone1_01548,1.0,3668
train,zone1_01074,8.0,8745
train,zone1_01175,2.0,753
train,zone2_05173,8.0,625
train,zone2_03537,3.0,13899
train,zone1_01373,4.0,15611
train,zone1_01834,8.0,393
train,zone2_03365,3.0,32125
train,zone1_00635,16.0,104794
train,zone2_01759,4.0,13044
train,zone1_01883,4.0,40384
train,zone2_00524,3.0,18710
train,zone2_03188,4.0,47773
train,zone1_01648,1.0,189
train,zone2_00829,3.0,2021
train,zone2_03398,4.0,34892
train,zone2_01290,3.0,271
train,zone1_00088,4.0,6602
train,zone1_02382,2.0,2111
train,zone1_00278,4.0,21116
train,zone2_02262,4.0,27234
train,zone1_01433,2.0,6523
train,zone2_04477,4.0,2979
train,zone2_05243,6.0,2927
train,zone1_00191,3.0,1448
train,zone1_02014,2.0,1708
train,zone2_05212,5.0,1920
train,zone2_03957,4.0,801
train,zone1_02440,8.0,3468
train,zone2_01073,4.0,16569
train,zone2_01382,2.0,456
train,zone1_02035,8.0,6422
train,zone1_00287,3.0,3065
train,zone1_00152,3.0,677
train,zone2_05159,8.0,476
train,zone2_04401,3.0,6984
train,zone2_03724,8.0,29188
train,zone2_04997,8.0,746
train,zone2_00768,2.0,872
train,zone2_04652,8.0,459
train,zone2_01838,5.0,6108
train,zone2_04733,3.0,5254
train,zone1_01276,8.0,93987
train,zone2_02798,4.0,105469
train,zone2_00451,4.0,11846
train,zone1_01412,8.0,62339
train,zone2_03709,3.0,6808
train,zone2_04229,3.0,30878
train,zone1_01951,3.0,329
train,zone1_01858,3.0,5165
train,zone1_01360,2.0,41003
train,zone1_00471,2.0,34616
train,zone2_00617,4.0,358
train,zone2_04145,4.0,7575
train,zone1_00139,10.0,500
train,zone2_01505,4.0,3264
train,zone1_01917,2.0,2779
train,zone2_05035,4.0,11179
train,zone2_03587,3.0,14281
train,zone1_00338,3.0,6234
train,zone2_02436,13.0,89062
train,zone1_01333,2.0,120685
train,zone1_02181,6.0,8616
train,zone2_01363,5.0,4735
train,zone2_01618,2.0,507
train,zone1_01159,8.0,2663
train,zone2_02244,3.0,9956
train,zone2_03842,1.0,2725
train,zone1_02058,3.0,45192
train,zone2_01949,7.0,3862
train,zone1_00836,2.0,53139
train,zone1_01800,2.0,46721
train,zone2_05294,4.0,22346
train,zone2_03830,8.0,2171
train,zone2_00899,3.0,15294
train,zone2_00342,3.0,3012
train,zone2_05346,3.0,2076
train,zone2_03754,5.0,22232
train,zone2_01404,18.0,11175
train,zone2_04705,15.0,1127
train,zone2_00091,4.0,13002
train,zone2_05185,7.0,1735
train,zone2_01101,3.0,18162
train,zone2_00851,4.0,17713
train,zone2_03254,3.0,50488
train,zone2_04332,3.0,922
train,zone2_02149,4.0,5516
train,zone2_00143,3.0,31484
train,zone1_01606,3.0,1315
train,zone2_01356,3.0,13125
train,zone1_00875,3.0,86343
train,zone2_00977,3.0,6961
train,zone2_00698,3.0,4157
train,zone1_02328,3.0,6059
train,zone1_01011,8.0,123045
train,zone2_04823,15.0,19550
train,zone2_03489,3.0,91709
train,zone2_03931,5.0,4709
train,zone1_01966,1.0,224
train,zone2_03630,9.0,210222
train,zone1_00855,8.0,45235
train,zone2_00436,3.0,30815
train,zone1_02026,4.0,8853
train,zone2_04977,15.0,15990
train,zone2_01045,1.0,1668
train,zone2_03413,4.0,3024
train,zone2_02317,4.0,150988
train,zone1_02428,3.0,2327
train,zone2_02455,3.0,5377
train,zone2_02466,3.0,68063
train,zone1_01584,3.0,26445
train,zone2_00052,5.0,10856
train,zone2_03056,4.0,6986
train,zone2_02631,3.0,2550
train,zone2_04969,15.0,89905
train,zone1_00623,2.0,54361
train,zone1_00714,3.0,140528
train,zone2_03891,3.0,5182
train,zone2_04263,8.0,445
train,zone2_03166,4.0,3018
train,zone2_02067,3.0,6871
train,zone1_02158,3.0,1710
train,zone2_02834,2.0,1198
train,zone2_00754,3.0,4238
train,zone1_01460,16.0,80916
train,zone1_00059,4.0,54860
train,zone2_03315,4.0,32614
train,zone2_03971,4.0,8020
train,zone1_00214,8.0,371
train,zone2_00037,3.0,52774
train,zone2_03505,3.0,23824
train,zone1_01382,8.0,10361
train,zone1_02443,3.0,40513
train,zone1_02127,8.0,2763
train,zone2_00139,3.0,3836
train,zone2_04342,2.0,801
train,zone2_00080,2.0,217
train,zone2_05265,3.0,8992
train,zone2_03452,3.0,2010
train,zone2_01908,3.0,28151
train,zone2_03732,3.0,22944
train,zone2_03974,3.0,29787
train,zone1_01298,3.0,40734
train,zone1_00377,4.0,1582
train,zone1_00330,3.0,8679
train,zone2_03631,9.0,57481
train,zone1_00095,11.0,5385
train,zone2_04960,4.0,14376
train,zone2_02227,5.0,49500
train,zone1_00592,3.0,3322
train,zone2_04358,3.0,2874
train,zone2_02394,3.0,58237
train,zone2_05319,3.0,4315
train,zone2_04648,3.0,4387
train,zone2_03520,8.0,262
train,zone1_01130,4.0,20755
train,zone2_00081,1.0,355
train,zone2_05005,15.0,29226
train,zone2_03348,4.0,30022
train,zone2_01685,3.0,1524
train,zone1_01701,4.0,14710
train,zone1_02257,3.0,2039
train,zone2_01020,3.0,3450
train,zone2_03708,3.0,10489
train,zone1_01520,5.0,16004
train,zone1_00754,2.0,8353
train,zone1_01096,6.0,92430
train,zone1_00339,5.0,11701
train,zone2_03539,3.0,4426
train,zone2_03826,3.0,15752
train,zone1_00591,3.0,16239
train,zone1_02227,3.0,37879
train,zone2_05121,4.0,31601
train,zone1_00801,3.0,2722
train,zone1_02414,8.0,14204
train,zone2_05144,7.0,3911
train,zone2_03117,4.0,51319
train,zone2_03966,3.0,20243
train,zone1_00151,3.0,3349
train,zone1_00981,4.0,51581
train,zone2_01907,2.0,1011
train,zone2_04637,4.0,16756
train,zone2_04322,4.0,44530
train,zone2_03394,9.0,4690
train,zone1_01613,3.0,891
train,zone1_00284,2.0,1374
train,zone2_03722,3.0,11981
train,zone2_02016,1.0,168
train,zone1_00006,3.0,1067
train,zone2_00452,3.0,16217
train,zone2_03124,15.0,10083
train,zone2_02812,4.0,5988
train,zone2_02290,4.0,28258
train,zone2_05085,3.0,13943
train,zone2_01028,2.0,5250
train,zone1_02374,2.0,4297
train,zone2_02364,1.0,2914
train,zone2_03862,4.0,17198
train,zone1_02349,2.0,5088
train,zone2_01099,3.0,21337
train,zone2_02428,4.0,7645
train,zone2_03316,5.0,11412
train,zone2_01002,3.0,3919
train,zone2_03730,2.0,2902
train,zone2_04418,3.0,7448
train,zone2_01246,3.0,8965
train,zone2_01808,4.0,12057
train,zone2_05353,3.0,5920
train,zone2_03385,5.0,10660
train,zone2_03382,3.0,40640
train,zone2_04651,8.0,227
train,zone2_04031,4.0,5621
train,zone2_03402,2.0,3722
train,zone2_01179,3.0,10969
train,zone2_01913,7.0,28936
train,zone1_00641,18.0,104328
train,zone1_02429,1.0,1160
train,zone1_00456,4.0,20111
train,zone2_01963,3.0,6654
train,zone1_01817,5.0,16851
train,zone1_01232,8.0,19118
train,zone2_03861,3.0,10748
train,zone2_00390,4.0,21890
train,zone2_00097,3.0,29754
train,zone2_05247,3.0,1877
train,zone1_00787,8.0,17644
train,zone2_01467,4.0,4885
train,zone2_03043,4.0,62897
train,zone2_00040,3.0,17154
train,zone2_01959,4.0,65102
train,zone2_00445,3.0,22631
train,zone2_04808,15.0,36271
train,zone2_01210,13.0,34372
train,zone2_00151,3.0,31633
train,zone1_00786,8.0,90086
train,zone1_02246,1.0,180
train,zone2_02484,3.0,18176
train,zone1_01743,15.0,67216
train,zone2_01291,3.0,3537
train,zone2_00176,3.0,5783
train,zone1_00909,8.0,32773
train,zone2_04929,8.0,343
train,zone1_01446,6.0,38358
train,zone1_01878,3.0,28976
train,zone2_03020,3.0,5292
train,zone2_01173,4.0,41872
train,zone1_00536,2.0,4369
train,zone1_00087,3.0,60717
train,zone2_01088,3.0,38786
train,zone2_03099,4.0,6886
train,zone2_00802,3.0,21447
train,zone2_03250,5.0,95085
train,zone1_00116,6.0,21981
train,zone2_02465,4.0,11797
train,zone2_00848,3.0,13732
train,zone1_01597,4.0,31049
train,zone1_00735,8.0,98956
train,zone2_04704,15.0,21269
train,zone1_01770,3.0,6386
train,zone2_01553,2.0,9566
train,zone2_03037,4.0,38396
train,zone2_00838,3.0,14892
train,zone1_01284,2.0,41818
train,zone2_02423,4.0,6178
train,zone2_03990,3.0,16125
train,zone2_04711,8.0,440
train,zone2_03997,7.0,79454
train,zone2_00503,3.0,23293
train,zone2_02857,3.0,1411
train,zone2_00188,5.0,74789
train,zone1_01316,8.0,28150
train,zone2_02320,3.0,12252
train,zone2_00517,3.0,7724
train,zone2_04598,3.0,5254
train,zone2_04334,3.0,1040
train,zone2_01358,3.0,2653
train,zone2_04284,2.0,386
train,zone2_03310,4.0,13834
train,zone2_02571,6.0,1568
train,zone2_04386,5.0,17687
train,zone2_01561,3.0,15315
train,zone2_04128,16.0,60035
train,zone2_01137,16.0,58740
train,zone1_02322,8.0,15997
train,zone2_01187,3.0,54361
train,zone1_00092,3.0,22170
train,zone2_04769,8.0,3044
train,zone1_02312,1.0,6179
train,zone2_03033,3.0,11999
train,zone2_00335,2.0,1657
train,zone2_01552,3.0,4299
train,zone1_01890,16.0,12230
train,zone2_02866,17.0,61463
train,zone2_03569,4.0,1514
train,zone2_03776,8.0,12541
train,zone2_00978,6.0,8302
train,zone2_00793,3.0,3828
train,zone2_05245,4.0,67514
train,zone2_00509,4.0,47477
train,zone1_00292,2.0,40622
train,zone2_01925,5.0,7058
train,zone1_01049,4.0,81409
train,zone2_02956,5.0,31911
train,zone2_04864,8.0,422
train,zone1_00450,12.0,59083
train,zone2_01306,3.0,25408
